Category: All categories

Day,Bitcoin: (Worldwide)
2021-02-05,26
2021-02-06,31
2021-02-07,28
2021-02-08,60
2021-02-09,72
2021-02-10,45
2021-02-11,45
2021-02-12,42
2021-02-13,33
2021-02-14,39
2021-02-15,37
2021-02-16,43
2021-02-17,48
2021-02-18,44
2021-02-19,49
2021-02-20,55
2021-02-21,49
2021-02-22,56
2021-02-23,69
2021-02-24,52
2021-02-25,41
2021-02-26,43
2021-02-27,35
2021-02-28,38
2021-03-01,37
2021-03-02,34
2021-03-03,32
2021-03-04,30
2021-03-05,29
2021-03-06,27
2021-03-07,27
2021-03-08,29
2021-03-09,33
2021-03-10,33
2021-03-11,32
2021-03-12,31
2021-03-13,38
2021-03-14,40
2021-03-15,35
2021-03-16,32
2021-03-17,30
2021-03-18,31
2021-03-19,27
2021-03-20,27
2021-03-21,26
2021-03-22,27
2021-03-23,28
2021-03-24,31
2021-03-25,34
2021-03-26,27
2021-03-27,26
2021-03-28,25
2021-03-29,28
2021-03-30,28
2021-03-31,28
2021-04-01,31
2021-04-02,28
2021-04-03,26
2021-04-04,24
2021-04-05,25
2021-04-06,26
2021-04-07,24
2021-04-08,25
2021-04-09,23
2021-04-10,26
2021-04-11,28
2021-04-12,26
2021-04-13,34
2021-04-14,38
2021-04-15,32
2021-04-16,35
2021-04-17,28
2021-04-18,51
2021-04-19,44
2021-04-20,36
2021-04-21,30
2021-04-22,36
2021-04-23,55
2021-04-24,38
2021-04-25,33
2021-04-26,36
2021-04-27,33
2021-04-28,30
2021-04-29,27
2021-04-30,27
2021-05-01,25
2021-05-02,24
2021-05-03,28
2021-05-04,29
2021-05-05,28
2021-05-06,27
2021-05-07,25
2021-05-08,26
2021-05-09,26
2021-05-10,27
2021-05-11,26
2021-05-12,27
2021-05-13,65
2021-05-14,40
2021-05-15,33
2021-05-16,38
2021-05-17,51
2021-05-18,40
2021-05-19,100
2021-05-20,78
2021-05-21,56
2021-05-22,52
2021-05-23,61
2021-05-24,54
2021-05-25,44
2021-05-26,38
2021-05-27,35
2021-05-28,35
2021-05-29,36
2021-05-30,32
2021-05-31,32
2021-06-01,30
2021-06-02,30
2021-06-03,30
2021-06-04,33
2021-06-05,29
2021-06-06,31
2021-06-07,30
2021-06-08,41
2021-06-09,37
2021-06-10,32
2021-06-11,28
2021-06-12,25
2021-06-13,25
2021-06-14,32
2021-06-15,26
2021-06-16,25
2021-06-17,23
2021-06-18,22
2021-06-19,21
2021-06-20,23
2021-06-21,33
2021-06-22,44
2021-06-23,31
2021-06-24,25
2021-06-25,27
2021-06-26,24
2021-06-27,23
2021-06-28,25
2021-06-29,24
2021-06-30,21
2021-07-01,20
2021-07-02,19
2021-07-03,18
2021-07-04,21
2021-07-05,20
2021-07-06,18
2021-07-07,17
2021-07-08,20
2021-07-09,18
2021-07-10,16
2021-07-11,15
2021-07-12,17
2021-07-13,18
2021-07-14,18
2021-07-15,18
2021-07-16,19
2021-07-17,17
2021-07-18,16
2021-07-19,20
2021-07-20,25
2021-07-21,23
2021-07-22,21
2021-07-23,18
2021-07-24,18
